Year,Stock,Asset Turnover,Average Inventory,Average Payables,Average Receivables,Book Value Per Share,Capex Per Share,Capex To Depreciation,Capex To Operating Cash Flow,Capex To Revenue,Capital Expenditure Coverage Ratio,Cash Conversion Cycle,Cash Flow Coverage Ratios,Cash Per Share,Cash Ratio,Company Equity Multiplier,Current Ratio,Days Of Inventory On Hand,Days Of Sales Outstanding,Debt Ratio,Dividend Payout Ratio,Dividend Yield,EBIT Per Revenue,EBT Per EBIT,EV To Sales,Earnings Yield,Effective Tax Rate,Enterprise Value,Enterprise Value Over Ebitda,Ev To Free Cash Flow,Ev To Operating Cash Flow,Fixed Asset Turnover,Free Cash Flow Per Share,Free Cash Flow Yield,Graham Net Net,Graham Number,Income Quality,Intangibles To Total Assets,Interest Coverage,Inventory Turnover,Long Term Debt To Capitalization,Net Current Asset Value,Net Income Per Share,Net Profit Margin,PB Ratio,PE Ratio,Payables Turnover,Price Earnings To Growth Ratio,ROE,ROIC,Receivables Turnover,Research And Ddevelopement To Revenue,Return On Assets,Return On Capital Employed,Revenue Per Share,Sales General And Administrative To Revenue,Short Term Coverage Ratios,Stock Based Compensation To Revenue,Tangible Asset Value,Total Debt To Capitalization,Working Capital,Z_Score,Altman_Zone,Financial_Distress
2012,RPGLIFE,1.077177294,291800000.0,216650000.0,303350000.0,46.1015355,-7.620088513,-1.276595745,-1.022727273,-0.056848944,-0.977777778,33.25342771,0.195866455,0.471719765,0.007251092,2.69919979,0.92246909,140.2413658,99.91224508,0.305695957,0.294784581,0.013169173,0.035643386,0.06835443,0.72566048,0.044673886,-7.166666667,1608353888.0,9.050950409,-574.4121028,13.05482052,2.635747413,-0.1693353,-0.002836437,-41.46446973,52.59724352,22.81481481,0.097638025,0.0,2.602655771,0.121268012,-303000000.0,2.667030979,0.01989713,1.294967713,22.3844419,1.764135703,0.052852154,0.05785124,0.46328211,3.653205868,0.0,0.021432737,0.080456258,134.0409856,0.0,0.235204276,0.0,561400000.0,0.452095163,-83400000.0,5.691565018752021,Healthy,0
2013,RPGLIFE,1.20023461,335700000.0,401750000.0,303350000.0,76.05574058,-8.255095889,-1.286522149,2.455035971,-0.058003654,0.407326007,3.566775244,-0.396011396,0.423338251,0.010976948,1.559080789,1.317547436,179.6228013,0.0,0.071607079,0.036516854,0.019622286,0.005269196,52.39516129,0.47897335,0.537348766,0.178082192,1127167984.0,-2.155609073,-5.867610537,-20.27280547,2.676333447,-11.61761114,-0.193304678,-30.67690395,235.083757,-0.085577959,0.096700158,0.0,2.032036007,0.002854424,137100000.0,32.29466084,0.226915395,0.790209911,1.860988734,2.073203674,0.001677529,0.424618321,0.007285047,0.0,0.0,0.272351711,0.009372638,142.3202722,0.0,-0.406432749,0.0,1068000000.0,0.100429185,202500000.0,16.18159372989551,Healthy,0
2014,RPGLIFE,1.230359047,361250000.0,311600000.0,0.0,75.69016019,-6.488937511,-0.944542254,5.446700508,-0.044289429,0.183597391,39.5642933,-0.060097621,0.435417988,0.01071588,1.573266219,1.281440691,148.6031409,0.0,0.166471992,3.26,0.011926654,0.01192884,0.346020761,1.260566114,0.003658483,0.7,3053973526.0,20.42791656,-24.04703563,-155.0240368,2.774507558,-7.680289505,-0.046462731,-32.52935216,32.09208296,-1.97,0.091006043,1.0625,2.456206497,0.002550207,143500000.0,0.604747205,0.004127626,2.183903424,273.3373526,3.34743083,-2.785125628,0.007989773,0.005484218,0.0,0.0,0.005078462,0.022278754,146.5121054,0.0,-0.06069008,0.0,1072400000.0,0.20754717,189100000.0,16.00351353482487,Healthy,0
2015,RPGLIFE,1.359060566,367500000.0,295050000.0,0.0,80.78686003,-9.294812775,-1.514285714,-0.468454739,-0.055105407,-2.134677944,21.19586614,1.477927928,0.483789865,0.011976048,1.536267685,1.305239521,155.7556868,0.0,0.10817132,0.408777969,0.012950867,0.052022085,0.800827016,1.391692273,0.031681911,0.048192771,3881708089.0,15.39138814,22.25750051,11.83086891,2.952159187,10.54661905,0.047550131,-31.04116719,113.0181195,2.823580034,0.079764167,5.898373984,2.343413634,0.00179332,155500000.0,7.027047784,0.041660691,2.745495987,31.56375292,2.712548205,0.029452958,0.086982559,0.088587062,0.0,0.004374014,0.056619403,0.10481832,168.6733363,0.017065825,1.494080146,0.0,1172200000.0,0.142499519,203900000.0,28.81805606748903,Healthy,0
2016,RPGLIFE,1.243635035,424000000.0,311850000.0,238650000.0,93.1615335,-33.78072999,-4.74278438,-7.409814324,-0.18242074,-0.134956148,115.922713,0.187702265,0.967409486,0.023303233,1.598325545,1.413341101,157.8769841,56.88265256,0.163113656,0.012218964,0.000337067,0.057530937,1.287173666,2.547628327,0.02758557,0.097883598,7802621277.0,26.27145211,-16.14446778,103.4830408,3.645637424,-29.22181279,-0.065161808,-19.2892382,161.0302872,0.332451499,0.221220612,6.992063492,2.311926606,0.094924812,48500000.0,12.3707488,0.066803801,4.813682033,36.25083713,3.692951849,0.449459233,0.132788162,0.081761694,6.416719045,0.001077481,0.083079547,0.099206126,185.1803145,0.022725047,0.314035818,0.0,996000000.0,0.206795367,283800000.0,31.803251990381305,Healthy,0
2017,RPGLIFE,1.15751708,497350000.0,402650000.0,622800000.0,93.56663622,-9.359686777,-1.079497908,-1.054495913,-0.045914281,-0.948320413,88.97265766,0.270748801,0.568353073,0.000911275,1.882197092,1.181509403,170.9872611,83.17647931,0.186150307,0.411152416,0.008419008,0.077650897,0.777692895,2.108726029,0.020476611,0.339390963,7109569807.0,17.87222174,-888.6962259,48.43031204,3.978640548,-0.483704743,-0.00121794,-30.90419835,130.8452885,0.721021611,0.188107254,6.889473684,2.134661948,0.062007516,61000000.0,8.132285992,0.039893223,4.244568535,48.83620675,2.209562367,-1.35715498,0.086914378,0.08265901,4.388259794,0.000237283,0.046177087,0.153494372,203.8513176,0.023817292,0.333712207,0.0,999600000.0,0.259463081,219100000.0,24.92754660577611,Healthy,0
2018,RPGLIFE,1.289285146,473650000.0,385000000.0,620100000.0,97.04326406,-11.89913668,-1.2845953,-0.429882045,-0.060755742,-2.326219512,105.9477861,1.254246575,0.223713444,0.004754562,1.565358255,1.247622719,136.1286805,53.17470363,0.145279414,0.443108233,0.01118433,0.059243023,0.784262637,1.43371139,0.025240627,0.281727575,4644077934.0,13.49238214,17.79340205,10.144338,3.496923243,15.78086724,0.060941754,-20.83407023,119.4626057,3.041860465,0.207689858,4.80952381,2.68128655,0.039382332,63500000.0,6.53606034,0.033372438,2.668397467,39.61866729,4.378830084,-2.025784686,0.067352025,0.069727073,6.864166137,0.0,0.043026588,0.11065621,195.8520504,0.029328229,1.530080214,0.0,1083200000.0,0.185279188,192700000.0,21.554461679667195,Healthy,0
2019,RPGLIFE,1.383983804,438250000.0,347700000.0,235950000.0,106.7596831,-6.493736175,-0.656479218,-0.214072155,-0.029093864,-4.67132216,6.285222292,4.280716724,0.399056413,0.006538322,1.510619018,1.522944666,133.161005,0.0,0.043939564,0.440193037,0.045471949,0.116348368,0.848661234,0.791040159,0.103300019,0.204115226,2920124747.0,4.848289469,7.405845161,5.82045993,4.056593407,23.84059752,0.14040399,-40.02354433,205.264545,1.376406036,0.156975218,24.54285714,2.741042695,0.00853501,356200000.0,17.54034324,0.078585941,1.590488048,9.680540321,2.876829543,0.057555212,0.164297446,0.179694323,0.0,0.025274279,0.108761669,0.233246443,223.1995073,0.034782609,4.918627451,0.0,1347000000.0,0.06224441,431900000.0,43.12705467269784,Healthy,0
2020,RPGLIFE,1.263719964,524700000.0,459250000.0,294750000.0,130.8723645,-5.145409204,-0.516697025,-0.146044277,-0.02219614,-6.847238543,84.99948836,28.84653465,25.32798961,0.506462542,1.401663202,2.206675869,154.6821418,56.12089202,0.006658097,0.0,0.0,0.139958268,0.998509132,1.571156602,0.062429626,0.253452781,6023814411.0,8.483050853,12.10573636,10.33776285,4.359790766,30.08643501,0.077662455,17.12768263,266.8642565,1.087532661,0.122383731,67.92405063,2.359677696,0.003407155,889100000.0,24.18523715,0.104329682,2.960136018,16.01803603,2.901349073,0.422490755,0.184800185,0.182271926,6.503816794,0.023161189,0.131843502,0.239874832,231.8154981,0.039567032,45.5234375,0.0,1793200000.0,0.009246121,961600000.0,472.0995060696975,Healthy,0
2021,RPGLIFE,1.268564464,706600000.0,464700000.0,469550000.0,154.6464526,-14.48091074,-1.529374202,-0.36988417,-0.054785433,-2.703549061,120.2874421,68.88297872,42.20323883,0.710772688,1.347343316,2.582823618,201.6600093,29.18931284,0.002727721,0.231351981,0.012848879,0.161817184,1.034351145,1.992243334,0.055538229,0.296432964,8709290957.0,9.835449979,21.34630136,13.4506424,4.367669098,24.66894189,0.044016312,29.43041046,329.0983378,0.884925516,0.100635501,136.0384615,1.809977106,0.001171555,1180700000.0,31.12640021,0.117760088,3.624072783,18.00561569,3.301318681,0.62760208,0.201274583,0.193387986,12.50457666,0.020518803,0.149386263,0.267448015,264.3204568,0.044972093,101.171875,0.0,2210900000.0,0.003661719,1268000000.0,782.4079912520348,Healthy,0
2012,RPOWER,0.094829847,3481200000.0,2171050000.0,20208400000.0,66.23972297,-31.77407546,-31.25953074,-12.6359641,-1.809796381,-0.079139193,281.7136655,0.02563987,17.38035721,0.782635508,2.794986083,1.429868377,65.15749738,250.9860443,0.529725116,0.0,0.0,0.291737058,0.834935306,8.195465085,0.057188826,0.156842641,404000000000.0,19.77118215,-4.917562629,57.22058223,0.125552316,-29.25950077,-0.46406822,-91.50465339,73.30754003,0.587999433,0.001171683,2.5656149,5.601811222,0.565818489,-245000000000.0,3.605755435,0.205377593,0.951845753,17.48593329,10.60125799,1.039067959,0.054434941,0.026282864,1.454264124,0.0,0.019475926,0.031400951,17.5567129,0.006394064,0.214001396,0.0,185000000000.0,0.596867552,26558300000.0,5.328418490622693,Healthy,0
2013,RPOWER,0.091249451,5791600000.0,4021900000.0,30891350000.0,69.40303846,-15.74527941,-12.13826367,-1.911789531,-0.864016761,-0.523070131,211.4227074,0.076899981,9.844190747,0.352048028,2.877527361,0.854031292,74.23492432,199.3380909,0.536273222,0.0,0.0,0.298269912,0.812483604,9.2413572,0.051804352,0.171244985,472000000000.0,20.91842602,-22.42637435,20.44813335,0.111057281,-7.509394052,-0.106290076,-111.8822462,75.5996377,1.86491068,0.001150106,2.322993479,4.916823225,0.574199389,-302000000000.0,3.659977589,0.200840004,1.017966988,19.30339743,5.872859088,13.93705295,0.05273512,0.025522013,1.831059977,0.0,0.01832654,0.031386621,18.22334951,0.007877728,0.609727581,0.0,194000000000.0,0.606785447,-10863400000.0,4.04957324409663,Healthy,0
2014,RPOWER,0.110448269,8351200000.0,6908100000.0,38172550000.0,73.55105108,-7.724250676,-4.137308816,-1.54865201,-0.316283856,-0.645722857,274.7776845,0.042118674,7.22238382,0.115625896,3.006294591,0.808883062,93.74769815,258.0198594,0.535559114,0.0,0.0,0.29686964,0.632506454,6.992392624,0.064882472,0.200597034,479000000000.0,16.8170769,-62.40302559,34.23754541,0.139512535,-2.736525463,-0.048434079,-125.5223354,77.88855004,1.087658198,0.000968951,1.950259395,3.893428929,0.577667901,-332000000000.0,3.665859677,0.150105464,0.76817393,15.41248301,4.740883252,28.20484392,0.049841024,0.030190717,1.414619792,0.0,0.016578889,0.03914834,24.42189357,0.005881194,0.279937655,0.0,206000000000.0,0.616865353,-19257000000.0,3.61062938675095,Healthy,0
